ID,Name,Date of Birth,Weight (KG),Height (CM),Locality,Nationality,Association,Wins,Losses,Draws,Last Fight
4221,Jason Cloke,None,0,0,"Castle Rock, Washington",USA,None,1,0,0,2003-05-24T00:00:00
4222,Brian Nichols,None,0,0,None,None,None,5,0,0,2006-07-15T00:00:00
4223,Chad Smith,None,0,0,"Lacey, Washington",USA,None,0,2,0,2004-01-16T00:00:00
4224,Shaun Wagner,None,88.45,0,None,United States,None,1,2,0,2008-08-02T00:00:00
4225,Ruth Mejia,None,51.26,152.4,"McAllen, Texas",United States,None,0,1,0,2002-04-13T00:00:00
4226,Jessica Ross,None,70.31,175.26,"Detroit, Michigan",United States,Warrior Way,1,1,0,2002-04-13T00:00:00
4227,Tara LaRosa,1978-01-08T00:00:00,54.88,167.64,"Woodstown, New Jersey",United States,Jackson-Wink MMA,22,5,0,2015-05-15T00:00:00
4228,Shannon Hooper,None,75.3,0,"Auburn, Washington",United States,CSW,1,4,0,2009-05-16T00:00:00
4229,Angela Wilson,None,60.33,167.64,"Peterborough, Ontario",Canada,None,1,2,0,2003-05-03T00:00:00
4230,Debi Purcell,None,61.23,170.18,"Laguna Niguel, California",United States,Ruas Vale Tudo,4,2,0,2008-08-15T00:00:00
4231,Christine Van Fleet,None,63.5,167.64,"Medford, Oregon",United States,None,2,2,0,2002-09-07T00:00:00
4232,Marloes Coenen,1981-03-31T00:00:00,65.77,175.26,"Deventer, Overijssel",Netherlands,Golden Glory,23,7,0,2016-05-20T00:00:00
4233,Miwako Ishihara,None,71.67,154.94,None,Japan,Zendo Kai,5,5,1,2004-12-19T00:00:00
4234,Bob Shabaga,None,64.86,172.72,"Kelowna, British Columbia",Canada,Toshido Mixed Martial Arts,4,1,0,2005-12-03T00:00:00
4235,James Hanson,None,0,0,None,None,None,2,5,0,2009-08-15T00:00:00
4236,Rob Action,None,0,0,None,None,None,0,1,1,2003-04-04T00:00:00
4237,Gord Cummings,None,0,0,"Vanderhoof, British Colombia",Canada,None,0,3,1,2006-02-11T00:00:00
4238,Jeremy Whittingham,None,70.31,0,"Vancouver, British Colombia",Canada,None,2,1,0,2003-05-31T00:00:00
4239,Chad Hamzeh,None,61.23,165.1,"Calgary, Alberta",Canada,Elite Training Centre,6,4,0,2006-09-08T00:00:00
4240,Travis Galbraith,None,83.91,182.88,"Edmonton, Alberta",Canada,Triple Threat MMA,18,7,0,2010-05-29T00:00:00
4241,Eddy Ellis,1983-07-07T00:00:00,77.11,175.26,"Yelm, Washington",United States,United Training Center,21,16,1,2016-11-04T00:00:00
4242,Craig Sloan,1976-08-19T00:00:00,83.91,167.64,"Port Moody, British Columbia",Canada,Gibson Kickboxing &amp; Pankration,8,4,1,2011-07-29T00:00:00
4243,Dan Shenk,1979-10-17T00:00:00,83.91,180.34,"Prince George, British Columbia",Canada,Shenk Tank,4,5,0,2011-04-29T00:00:00
4244,Shane Biever,None,102.06,182.88,"Edmonton, Alberta",Canada,None,5,9,0,2009-12-18T00:00:00
4245,Paul Trudel,None,111.13,187.96,"Kelowna, British Colombia",Canada,None,1,4,0,2002-06-22T00:00:00
4246,Jason Townes,None,61.23,167.64,"Kelowna, British Colombia",Canada,Toshido Mixed Martial Arts,5,3,0,2009-10-24T00:00:00
4247,John De La O,None,77.11,0,"Stanton, California",United States,De La O Jiu-Jitsu,10,7,0,2012-08-30T00:00:00
4248,Alfredo Hernandez,None,0,0,None,None,None,1,2,0,2002-07-12T00:00:00
4249,Ryan Hodge,1981-02-07T00:00:00,83.91,185.42,"Gainesville, Florida",United States,F2 Fight Team,6,10,0,2015-02-07T00:00:00
4250,Danny Jung,None,0,0,None,None,None,5,3,0,2005-02-05T00:00:00
4251,Michael Brown,None,83.91,177.8,"Modesto, CA",USA,Fightcontrol Fight Team,3,2,0,2008-11-01T00:00:00
4252,John Sarno,None,0,0,None,None,None,0,1,0,2002-04-14T00:00:00
4253,Jori Tate,None,0,0,None,None,None,0,1,0,2002-04-14T00:00:00
4254,Russell Giminski,None,0,0,None,None,None,3,2,0,2008-04-12T00:00:00
4255,Cory Reeves,None,76.66,175.26,"Carson, Nevada",USA,None,1,1,0,2004-01-31T00:00:00
4256,Nick Shadwick,None,0,0,None,None,None,0,5,0,2013-09-01T00:00:00
4257,Richard Powers,None,0,0,None,None,None,0,1,0,2002-04-14T00:00:00
4258,Jorge Lopez,None,77.11,175.26,"Mexico City, Federal District",Mexico,Oselo Ohtli MMA,7,10,0,2015-12-18T00:00:00
4259,Manny Santos,None,0,0,None,None,None,0,1,0,2002-04-14T00:00:00
4260,Christian Montes,None,0,0,None,None,Ronin Athletics,3,1,0,2006-04-14T00:00:00
4261,Gary Grate,None,83.91,177.8,"Reno, Nevada",United States,Charles Gracie Jiu-Jitsu,1,1,0,2002-11-01T00:00:00
4262,Jeff Williamson,None,76.66,0,None,None,None,2,4,0,2006-04-14T00:00:00
4263,Josh Souder,1981-06-24T00:00:00,70.31,172.72,"Cincinnati, Ohio",USA,Team Jorge Gurgel,8,8,0,2011-09-04T00:00:00
4264,James Gabert,None,80.74,0,"East Windsor, New Jersey",USA,Serra-Longo Fight Team,6,4,0,2007-09-07T00:00:00
4265,John Fraser,1977-10-20T00:00:00,66.22,170.18,"Sarnia, Ontario",Canada,Supreme Martial Arts,11,5,0,2013-06-07T00:00:00
4266,Panit Thangdee,None,0,0,None,None,None,0,1,0,2002-03-08T00:00:00
4267,Brad Grimes,None,0,0,None,None,None,1,3,0,2003-01-15T00:00:00
4268,Sergey Haritonov,None,77.11,177.8,None,Estonia,None,2,3,0,2003-09-01T00:00:00
4269,Chosarlek Luadpedruo,None,0,0,None,None,None,0,1,0,2002-03-08T00:00:00
4270,Paul Daley,1983-02-21T00:00:00,77.56,175.26,Nottingham,England,Spirit Dojo,39,14,2,2017-01-21T00:00:00
4271,Lance Campbell,1968-07-22T00:00:00,92.99,182.88,"Modesto, california",USA,None,0,1,0,2004-06-26T00:00:00
4272,Clyde van Dams,None,136.08,0,None,Holland,Pancration,1,0,1,2004-10-03T00:00:00
4273,Suraporn Apitachaparn,None,0,0,None,None,None,0,1,0,2002-03-08T00:00:00
4274,Mark Colangelo,1975-09-22T00:00:00,76.66,172.72,"Montreal, Quebec",Canada,Renzo Gracie Jiu-Jitsu,3,4,0,2004-04-30T00:00:00
4275,Jason Hathaway,None,0,0,Hawaii,United States,Chris Leben's UFS,2,12,1,2006-11-17T00:00:00
4276,Fanoi Kiatsamanchai,None,0,0,None,None,None,1,1,0,2002-03-08T00:00:00
4277,Sunday Abjoudun,None,0,0,None,Nigeria,None,0,1,0,2002-10-18T00:00:00
4278,Murat Kurmanov,None,0,0,None,None,None,3,1,0,1998-11-06T00:00:00
4279,Manuchar Tupuria,None,0,0,None,None,None,0,1,0,1997-11-12T00:00:00
4280,Konstantin Alexandrov,None,0,0,None,Russia,None,0,5,0,2001-06-30T00:00:00
4281,Dino Frankel,None,0,0,None,None,None,0,1,0,1997-11-12T00:00:00
4282,Eric Kay,None,0,0,None,None,None,0,1,0,1997-11-12T00:00:00
4283,Alec Achmediev,None,117.93,185.42,None,Ukraine,None,0,1,0,1999-06-13T00:00:00
4284,Michael Ettl,1969-12-31T00:00:00,104.33,185.42,None,Austria,Kihaku Dojo,7,0,0,2007-04-28T00:00:00
4285,Gerhard Dexer,1960-06-03T00:00:00,117.93,185.42,None,Austria,Kihaku Dojo,4,0,0,2001-03-31T00:00:00
4286,Tibor Swaznik,None,106.59,182.88,Budapest,Hungary,None,0,1,0,1999-06-13T00:00:00
4287,Tibor Horwarth,None,97.52,185.42,Budapest,Hungary,None,0,1,0,1999-06-13T00:00:00
4288,Predrag Krsikapa,None,99.79,187.96,"Graz, Styria",Austria,Ettl Bros,7,0,0,2012-07-07T00:00:00
4289,Safet Ferhatovic,None,108.86,182.88,None,Serbia,Thaikibo,5,1,0,2005-03-06T00:00:00
4290,Rico Carellio,None,90.72,172.72,None,Italy,None,0,1,0,2001-10-13T00:00:00
4291,Hassan Reza,None,106.59,180.34,Amsterdam,Holland,None,0,1,0,2000-10-14T00:00:00
4292,Alexander Deussen,None,108.86,190.5,None,Germany,Mocambo,1,3,0,2005-03-06T00:00:00
4293,Patrick van Gill,None,99.79,187.96,None,Holland,Mocambo,0,1,0,2000-10-14T00:00:00
4294,Benjamin Tork,None,90.72,180.34,None,Romania,Thaikibo,0,1,0,2000-10-14T00:00:00
4295,Stefan Helmreich,None,83.91,182.88,None,Austria,KKV,2,0,0,2001-07-14T00:00:00
4296,Melvin Manhoef,1976-05-11T00:00:00,77.11,172.72,Amsterdam,Netherlands,Mike's Gym,30,13,1,2016-05-20T00:00:00
4297,Gerard van Wijk,None,0,0,None,Holland,None,0,3,0,1999-06-20T00:00:00
4298,Dave Scott,None,0,0,None,None,None,1,1,0,2005-06-25T00:00:00
4299,Rick Holshuizen,None,0,0,None,Holland,None,0,2,0,1999-06-20T00:00:00
4300,Rogier van Eck,None,0,0,None,Holland,None,0,1,0,1999-06-20T00:00:00
4301,Arie Maigret,None,0,0,None,Holland,None,1,0,0,1999-06-20T00:00:00
4302,Marcus Hapi,None,0,0,None,Holland,None,0,1,0,1999-06-20T00:00:00
4303,Jesse Ault,None,92.99,180.34,"Memphis, Tennessee",United States,None,1,3,0,2004-07-24T00:00:00
4304,Kyle Olsen,None,92.53,177.8,"Fargo, North Dakota",United States,Academy of Combat Arts,32,25,0,2014-10-04T00:00:00
4305,Jim Tollefson,None,0,0,None,None,None,0,2,0,2004-06-12T00:00:00
4306,Brian Criddle,None,0,0,None,None,None,1,1,0,2002-05-10T00:00:00
4307,Mark Smolinski,1976-06-28T00:00:00,88.9,177.8,"Winnipeg, Manitoba",Canada,None,1,2,0,2005-04-09T00:00:00
4308,Pat Russo,1980-05-08T00:00:00,91.63,182.88,"Allentown, Pennsylvania",United States,Alex Wilkies Martial Arts Academy,0,7,0,2013-08-17T00:00:00
4309,Thomas Frederiksen,None,74.84,0,None,Denmark,Talarek,6,1,1,2003-03-08T00:00:00
4310,Farzin Karbalai,None,0,0,None,Holland,Spangen Gym,0,1,0,2002-04-06T00:00:00
4311,Mikkel Guldbaek,1973-11-11T00:00:00,81.65,0,None,Denmark,Talarek,16,3,2,2012-12-13T00:00:00
4312,Travis Rhinert,None,0,0,None,None,None,4,2,0,2007-07-07T00:00:00
4313,Ricky Herro,None,0,0,None,None,None,0,1,0,1999-09-18T00:00:00
4314,Demi Deeds,1984-08-07T00:00:00,70.31,170.18,"Des Moines, Iowa",United States,Victory MMA,18,11,0,2015-01-17T00:00:00
4315,Kristy Coleman,None,0,0,None,None,None,0,1,0,2002-03-12T00:00:00
4316,Kestutis Stankevicius,None,0,0,None,None,None,0,3,0,2009-03-21T00:00:00
4317,Kurt Jamison,1981-09-05T00:00:00,68.04,0,"Des Moines, Iowa",USA,None,1,15,0,2010-08-27T00:00:00
4318,Brian Shepard,None,0,0,None,None,Las Vegas Combat Club,2,2,0,2003-09-27T00:00:00
4319,Jerrica Jack,None,0,0,None,None,None,3,0,0,2002-03-26T00:00:00
4320,Jolene Wietz,None,0,0,None,None,None,0,1,0,2002-03-26T00:00:00
4321,Nattawut Munintalasai,None,0,0,None,None,None,1,1,0,2002-03-08T00:00:00
4322,Watchara Rangseesuriyan,None,0,0,None,Thailand,None,2,0,0,2002-03-08T00:00:00
4323,Gwion Little,None,0,0,None,None,None,2,0,0,2002-03-08T00:00:00
4324,Kanochai Sosupawan,None,0,0,None,None,None,0,1,0,2002-03-08T00:00:00
4325,Ramon Temmink,None,0,0,None,Holland,None,0,5,0,2006-11-19T00:00:00
4326,Koen Hulzinga,None,0,0,None,Holland,Tatsujin Dojo,1,1,0,2002-05-12T00:00:00
4327,Dennis Charoykin,None,0,0,None,Holland,Gym Alkmaar,1,0,0,2001-12-02T00:00:00
4328,Mohamed Amghar,None,0,0,None,None,None,1,0,0,2001-06-10T00:00:00
4329,Sean McAmmie,None,0,0,None,None,None,1,0,0,2000-07-14T00:00:00
4330,Ted Brown,None,0,0,None,None,None,0,1,0,2000-07-14T00:00:00
4331,Stacy Jorgenson,None,0,0,None,None,None,1,3,0,2004-10-16T00:00:00
4332,Tim Davis,None,0,0,None,None,None,0,3,0,2004-04-24T00:00:00
4333,Aaron Stregles,None,0,0,None,None,None,1,2,0,2001-05-13T00:00:00
4334,Marco Jaskowiec,None,0,0,None,France,None,0,2,0,2001-10-14T00:00:00
4335,Grazhuydas Smailis,None,83.91,0,None,Lithuania,None,8,4,0,2006-09-08T00:00:00
4336,Dainius Krishtopaitis,None,0,0,None,None,Titanikas Gym,0,4,1,2005-12-04T00:00:00
4337,Dimitry Panfilov,None,0,0,None,None,None,0,1,0,1997-05-23T00:00:00
4338,Darius Vainutis,None,0,0,None,None,None,0,2,0,2003-08-03T00:00:00
4339,Igor Sulzhiskij,None,0,0,None,None,None,0,2,0,2003-08-03T00:00:00
4340,Povilas Markevicius,1980-12-17T00:00:00,83.91,185.42,None,None,Flawless MMA,7,7,0,2004-10-29T00:00:00
4341,Ernestas Slavickas,None,0,0,Klaipeda,Lithuania,Lutador Klaipeda BJJ and MMA Club,3,5,0,2012-10-27T00:00:00
4342,Edward Odquina,None,0,0,None,None,None,0,5,0,2007-06-09T00:00:00
4343,Jay White,None,120.2,190.5,"Las Vegas, Nevada",United States,Tapout Training Center,4,7,0,2010-07-09T00:00:00
4344,Aleksej Dobrov,None,0,0,None,None,None,0,2,0,2009-02-28T00:00:00
4345,Peter Borchert,None,0,0,None,Germany,None,1,2,3,2001-11-03T00:00:00
4346,Klaes Madsen,None,0,0,None,Denmark,None,1,0,1,2001-05-19T00:00:00
4347,Thomas Reiss,1971-07-26T00:00:00,108.86,195.58,Neum&#252;nster,Germany,None,1,1,0,2001-11-03T00:00:00
4348,Karim Sorensen,1982-04-12T00:00:00,68.04,172.72,&#197;rhus,Denmark,None,6,4,1,2006-04-01T00:00:00
4349,Kim Hovgaard,1973-07-04T00:00:00,70.31,175.26,Aalborg,Denmark,X-Gym,8,2,1,2004-03-28T00:00:00
4350,Tim Bartling,1970-07-01T00:00:00,79.38,177.8,Neumunster,Germany,None,2,2,1,2003-07-12T00:00:00
4351,Kenneth Nielsen,None,0,0,None,Denmark,None,0,0,1,2001-05-19T00:00:00
4352,Martin Gron,None,0,0,None,Denmark,None,1,3,0,2001-11-03T00:00:00
4353,Anders Dahl,1980-12-21T00:00:00,70.31,177.8,Kolding,Denmark,None,2,1,0,2001-11-03T00:00:00
4354,Nicolaj Rhod,None,0,0,None,Denmark,None,1,1,0,2001-11-03T00:00:00
4355,Henrik Kristensen,None,0,0,None,Denmark,None,0,2,0,2001-11-03T00:00:00
4356,Johnni Butler,1979-11-05T00:00:00,79.38,182.88,Aalborg,Denmark,None,0,2,0,2001-11-03T00:00:00
4357,Thomas Kjeldgaard,None,79.83,182.88,None,Denmark,None,4,4,0,2002-09-22T00:00:00
4358,Mads Nielsen,None,0,0,None,Denmark,None,0,2,1,2002-02-23T00:00:00
4359,Manabu Kano,None,65.77,162.56,None,Japan,Soho Taijutsu,0,10,0,2012-05-26T00:00:00
4360,Naosuke Mizoguchi,1975-02-22T00:00:00,64.86,170.18,None,Japan,Seiryukai,1,7,1,2016-09-04T00:00:00
4361,Naoya Miyamoto,None,64.86,0,None,Japan,Knuckle Gym,0,1,0,2002-04-21T00:00:00
4362,Justin Harris,None,65.77,165.1,"Los Angeles, California",United States,Beverly Hills Jiu-Jitsu,1,1,0,2007-08-11T00:00:00
4363,Justin Frantzen,None,0,0,None,None,None,1,2,0,2005-03-05T00:00:00
4364,Randy Bowers,None,70.31,167.64,"Huntington Beach, California",United States,HB Ultimate,4,3,0,2007-08-24T00:00:00
4365,Mike Ancheta,None,0,0,None,None,None,2,2,0,2008-06-14T00:00:00
4366,Heath Sims,None,79.83,175.26,None,USA,Team Quest,5,4,2,2006-02-24T00:00:00
4367,Steve Bruno,1981-11-03T00:00:00,78.93,177.8,"Pompano Beach, Florida",United States,American Top Team,15,6,0,2012-11-02T00:00:00
4368,Mike Dixon,None,0,0,None,None,None,2,0,0,2002-10-05T00:00:00
4369,Charles Trembley,None,0,0,None,None,None,0,1,0,2002-04-12T00:00:00
4370,Marcus Vinicios,1985-04-28T00:00:00,77.11,185.42,"Recife, Pernambuco",Brazil,Axe Capoeira,9,8,0,2014-11-30T00:00:00
4371,Wes Combs,1973-06-18T00:00:00,104.33,187.96,"Rancho Cucamonga, California",United States,Millennia MMA,20,6,0,2013-05-25T00:00:00
4372,Elton Klatt,None,0,0,None,None,None,0,1,0,2002-04-20T00:00:00
4373,Dave Rivas,None,65.77,170.18,"South San Gabriel, California",United States,None,11,10,1,2011-04-21T00:00:00
4374,Patrick Nguyen,None,0,0,None,None,None,0,1,0,2002-04-20T00:00:00
4375,David Avilla,None,0,0,None,None,Millenia Jiu-Jitsu,1,3,0,2007-04-28T00:00:00
4376,Jim Kikuchi,1979-08-01T00:00:00,69.85,170.18,Hawaii,United States,808 Fight Factory,6,5,0,2006-02-25T00:00:00
4377,Alex Rendon,None,90.72,0,None,None,Todd Medina Freestyle Team,0,1,0,2002-04-20T00:00:00
4378,Justin Masely,None,0,0,None,None,None,1,1,0,2002-06-22T00:00:00
4379,Steve Grode,None,0,0,California,United States,Team Oyama,2,1,0,2008-04-19T00:00:00
4380,Shane Boon,None,0,0,None,None,None,0,2,0,2001-11-24T00:00:00
4381,Jerry Castro,None,0,0,None,None,None,1,1,0,2002-05-25T00:00:00
4382,Mike Povajnuk,None,0,0,None,None,None,1,0,0,2001-11-24T00:00:00
4383,Greg Setter,None,0,0,None,None,None,0,1,0,2001-11-24T00:00:00
4384,Cody Gretzan,None,0,0,None,None,Sniper Shootwrestling,2,0,0,2001-11-24T00:00:00
4385,Jesse Richardson,None,0,0,None,None,Franco Behring,0,3,0,2002-07-21T00:00:00
4386,Mathias Hughes,None,92.99,187.96,"Winnipeg, Manitoba",Canada,None,0,3,0,2003-12-18T00:00:00
4387,Quenton Pongracz,None,0,0,None,None,Peterec's Martial Arts,6,4,0,2003-06-14T00:00:00
4388,Bill Mahood,1967-02-01T00:00:00,92.99,190.5,"Prince George, British Columbia",Canada,Revolution Fight Team,20,7,1,2010-05-29T00:00:00
4389,Jason MacDonald,1975-06-03T00:00:00,83.91,187.96,"Edmonton, Alberta",Canada,Pure Fitness,25,16,0,2012-05-15T00:00:00
4390,Johnny Gooch,None,0,0,None,None,None,0,1,0,2002-03-03T00:00:00
4391,Victor Valimaki,1981-12-17T00:00:00,105.69,182.88,"Edmonton, Alberta",Canada,Complete Fitness and Martial Arts,18,10,0,2015-09-25T00:00:00
4392,Mike Jorgensen,None,77.11,177.8,None,Canada,Team Peterec,6,3,1,2011-05-28T00:00:00
4393,Jamie Leonard,1967-05-21T00:00:00,72.57,177.8,"Quesnel, BC",Canada,PG Fight Club,1,1,0,2002-03-03T00:00:00
4394,Kevin Dolan,None,83.91,182.88,"Edmonton, Alberta",Canada,Fort Saskatchewan Elite Fight Team,3,12,0,2008-10-10T00:00:00
4395,Andy Social,None,0,0,None,None,None,0,4,0,2003-09-06T00:00:00
4396,Chris Peak,1976-12-01T00:00:00,90.72,190.5,"Victoria, British Colombia",Canada,Shenk Tank,11,19,0,2009-09-26T00:00:00
4397,Mike Whitehead,1981-06-29T00:00:00,118.39,185.42,"Salt Lake City, Utah",United States,Xtreme Couture,27,8,0,2015-12-05T00:00:00
4398,Boyd Ballard,1971-11-03T00:00:00,99.79,177.8,"Seattle, Washington",United States,Charlie's Combat Club,5,3,1,2004-01-31T00:00:00
4399,Kevin Jordan,1970-12-31T00:00:00,111.13,190.5,"Columbus, Georgia",United States,USCAA,11,9,0,2010-11-24T00:00:00
4400,Chris Herring,1973-04-19T00:00:00,117.93,193.04,None,None,None,5,20,0,2009-08-22T00:00:00
4401,Adam Rivera,1974-01-24T00:00:00,124.74,167.64,"Somersworth, New Hampshire",United States,The Shop MMA,3,2,0,2013-02-15T00:00:00
4402,Chad Hickey,None,0,0,None,None,None,0,1,0,2001-10-20T00:00:00
4403,Chris Melvin,None,0,0,None,None,None,0,0,0,2002-09-28T00:00:00
4404,Leif Stenberg,None,0,0,None,None,None,0,0,0,2002-01-13T00:00:00
4405,Craig Williamson,None,0,0,None,None,None,0,3,0,2003-06-07T00:00:00
4406,Steve Neal,None,0,0,None,None,None,2,3,0,2004-05-29T00:00:00
4407,Jay Luce,None,0,0,None,None,None,0,0,0,2002-01-13T00:00:00
4408,Joe Negil,None,0,0,None,None,None,0,1,0,2006-09-19T00:00:00
4409,Eric Phelps,None,0,0,None,None,None,0,0,0,2002-01-13T00:00:00
4410,David Bailey,None,0,0,None,None,None,0,1,0,2002-06-02T00:00:00
4411,Forrest Petz,1975-09-22T00:00:00,83.91,175.26,"Cleveland, Ohio",United States,Strong Style Fight Team,26,10,0,2013-06-01T00:00:00
4412,Chad Roarke,1974-09-22T00:00:00,86.18,175.26,"Richmond, Indiana",USA,None,0,2,0,2002-01-13T00:00:00
4413,John Vitta,None,0,0,None,None,None,0,1,0,2002-01-13T00:00:00
4414,Jason Scouten,None,0,0,None,None,Team Fearless,5,1,0,2003-05-17T00:00:00
4415,Dave Dillon,1972-08-20T00:00:00,76.66,175.26,"Evergreen Park, Illinois",USA,None,2,2,0,2002-10-05T00:00:00
4416,Bob Sapp,1973-09-22T00:00:00,149.23,195.58,"Seattle, Washington",United States,Team Beast,11,20,0,2016-07-02T00:00:00
4417,Kai Lego,None,0,0,None,None,None,0,2,0,2000-12-30T00:00:00
4419,Nate Ahloo,None,0,0,None,None,None,1,1,0,2001-03-01T00:00:00
4420,Kolo Tu,None,0,0,None,None,None,0,1,0,2000-12-30T00:00:00
4421,Kalvin Thiravong,None,0,0,None,None,None,0,1,0,2000-12-30T00:00:00
4422,Greg McMerran,None,0,0,None,None,None,0,1,0,2000-12-30T00:00:00
4423,Paul Savea,None,0,0,None,None,None,1,0,0,2000-12-30T00:00:00
4424,Kyle Kekauoha,None,0,0,None,None,None,0,1,0,2000-12-30T00:00:00
4425,Alex Wong,None,0,0,None,None,None,0,2,0,2007-01-27T00:00:00
4426,Troy Tamashiro,None,0,0,None,None,None,0,1,0,2001-03-01T00:00:00
4427,Eric Dahlberg,None,77.11,0,None,USA,USCAA,8,1,0,2011-07-29T00:00:00
4428,Joel Townsend,None,83.91,0,None,None,None,4,4,0,2004-01-31T00:00:00
4429,J.T. Taylor,None,77.11,177.8,"Bend, Oregon",United States,Desert Dogs,7,7,1,2011-12-09T00:00:00
4430,Jason Chambers,1980-03-23T00:00:00,77.11,182.88,"Chicago, Illinois",United States,None,18,6,2,2008-09-20T00:00:00
4431,Justin Hynes,None,0,0,None,None,None,0,2,0,2002-04-13T00:00:00
4432,Hercules Mitchell,None,0,0,None,None,None,2,0,0,2003-06-07T00:00:00
4433,Tito Stout,None,0,0,None,None,None,0,1,0,2002-04-13T00:00:00
4434,Jason Veach,1983-09-25T00:00:00,0,0,Indiana,USA,Duneland Vale Tudo,4,2,0,2005-08-06T00:00:00
4435,Ken Ozawa,None,88,172.72,None,Japan,Koppo,0,0,1,1996-11-30T00:00:00
4436,Kenichi Ogawa,None,109.77,172.72,None,Japan,Wajutsu Keishukai,0,1,1,1997-05-28T00:00:00
4437,Shuichi Uruno,None,84.82,172.72,None,Japan,Wajutsu Keishukai,0,0,1,1996-11-30T00:00:00
4438,Makoto Hojo,None,99.79,170.18,None,Japan,None,1,0,1,1996-11-30T00:00:00
4439,Ichiei Abe,None,88,175.26,None,Japan,Koppo,0,1,1,1996-11-30T00:00:00
4440,RJ Gamez,None,78.93,0,None,None,Asher Combat Academy,10,18,0,2011-11-05T00:00:00
4441,Paul Creighton,1970-04-07T00:00:00,70.31,167.64,"Manhattan, New York",USA,None,3,1,0,2002-05-10T00:00:00
4442,Patrick Tapels,None,61.69,165.1,None,Holland,None,0,1,0,1997-05-28T00:00:00
4443,Roy van de Wal,None,89.81,185.42,None,Holland,None,1,0,0,1997-05-28T00:00:00
4444,Max Raikedal,None,91.63,193.04,None,Holland,None,0,1,0,1997-05-28T00:00:00
4445,Shigeru Okada,None,0,0,None,None,None,1,1,0,2001-01-21T00:00:00
4446,Tim Jones,None,0,0,None,None,None,0,1,0,1999-07-11T00:00:00
4447,Paul Gardner,1978-01-13T00:00:00,70.31,175.26,"Seattle, Washington",USA,None,2,2,0,2002-07-13T00:00:00
4448,Sukil Yom,None,70.31,172.72,None,None,None,0,3,0,2000-07-27T00:00:00
4449,Mike Schwartz,None,0,0,None,None,None,1,2,0,2002-10-26T00:00:00
4450,Roy Benke,None,0,0,None,None,None,0,1,0,1999-12-11T00:00:00
4451,Justin Hall,None,0,0,"Atlanta, Georgia",United States,None,2,2,0,2009-03-27T00:00:00
4452,Chad Lebrun,None,0,0,None,None,None,4,0,0,2001-02-24T00:00:00
4453,Adam Dubose,None,0,0,None,None,None,1,0,0,1999-12-11T00:00:00
4454,Robert Ard,None,0,0,None,None,None,0,4,0,2009-04-17T00:00:00
4455,Ben Morrell,None,0,0,None,None,None,3,2,0,2007-07-20T00:00:00
4456,Jeremy Brick,None,0,0,None,None,None,1,1,0,1999-12-11T00:00:00
4457,Naoki Mori,None,0,0,None,None,None,1,1,0,1997-03-11T00:00:00
4458,Koichiro Kawaguchi,None,0,0,None,None,None,0,1,0,1999-04-08T00:00:00
4459,Roger Waters,None,0,0,None,None,None,3,0,0,2002-05-17T00:00:00
4460,Scott Usry,None,0,0,None,None,None,0,1,0,2000-02-12T00:00:00
4461,J.J. Wilson,None,0,0,"Augusta, Georgia",United States,None,2,2,0,2001-10-27T00:00:00
4462,Tsunemichi Nagano,None,0,0,None,None,None,0,1,0,1997-03-11T00:00:00
4463,John Kosowalla,None,0,0,None,None,None,0,1,0,1999-05-28T00:00:00
4464,Henry Cho,None,0,0,None,None,None,0,1,1,1999-05-28T00:00:00
4465,Thiago de Fritas,None,0,0,None,None,None,1,1,0,1999-05-28T00:00:00
4466,Jeremiah Miller,None,0,0,None,None,None,2,2,0,2005-07-16T00:00:00
4467,Jason Wascom,1974-12-29T00:00:00,69.4,167.64,"Loganville, Georgia",USA,None,2,1,0,2000-07-27T00:00:00
4468,Gabe Huerta,None,0,0,None,None,None,0,1,0,2000-05-06T00:00:00
4469,Adrian Lupu,None,71.67,0,None,Romania,None,2,0,0,1999-04-10T00:00:00
4470,Andrea Caponi,None,78.02,0,None,Italy,None,0,1,0,1999-04-10T00:00:00
4471,Christian Pietrobelli,None,71.67,0,None,Italy,None,1,1,0,1999-04-10T00:00:00
4472,Michele Verginelli,None,83.91,175.26,"Rome, Lazio",Italy,Verginelli Team,18,11,1,2013-04-20T00:00:00
4473,Giuliano Pierini,None,73.94,0,None,Italy,None,2,1,0,2008-09-20T00:00:00
4474,Marcio Jeova,None,99.79,0,None,Brazil,None,0,1,0,2002-04-26T00:00:00
4475,Rafael Comes,1973-12-04T00:00:00,95.25,180.34,None,Spain,S.H.O.O.T. Fighting S-Pain,1,1,0,2002-06-09T00:00:00
4476,Daniel Tabera,1977-12-25T00:00:00,77.11,180.34,Valencia,Spain,Espanha Imperial,18,8,3,2015-07-03T00:00:00
4477,Umer Sara,None,88.45,0,None,Holland,None,0,2,0,2002-04-26T00:00:00
4478,Julian Gonzales,None,88.45,0,None,Spain,S.h.o.o.t Spain,3,4,0,2004-05-22T00:00:00
4479,Magomed Dzhabrailov,None,81.65,0,Dagestan,Georgia,None,6,3,1,2004-04-05T00:00:00
4480,Islam Karimov,None,79.38,0,Rostov-on-don,Russia,Legion Fight Team,11,7,1,2011-06-12T00:00:00
4481,Milton Vieira,1978-10-04T00:00:00,65.77,182.88,"Rio de Janeiro, Rio de Janeiro",Brazil,Rio Fighters,13,8,2,2013-01-19T00:00:00
