Name,Nickname,Wins,Losses,Draws,No Contests,Height (in.),Weight (lbs),Reach (in.),Stance,Birth Date,Sig. Strikes landed/min,strike acc. (%),Sig Strikes taken/min,Strike def. (%),TD/15 min,TD acc. (%),TD def. (%),sub/15 min
Sam Liera,,4,3,0,,,,,,,0.82,60,7.36,51,0.00,0,66,0.0
Zach Light,,8,11,0,,68,170,,Orthodox,1974-02-06,0.81,33,1.90,48,1.36,100,0,0.0
Scott Lighty,,6,2,0,,74,205,,,1978-10-15,2.91,21,4.24,49,0.00,0,0,0.0
Chris Liguori,,13,9,0,,69,185,,Orthodox,,0.29,33,1.44,0,0.00,0,50,0.0
Donnie Liles,,13,5,0,,69,170,,Orthodox,,2.25,41,1.75,65,2.50,28,0,1.2
Jae Suk Lim,,15,5,0,,69,170,,Orthodox,1979-11-09,2.43,50,4.05,37,12.16,100,100,0.0
Hyun Gyu Lim,The Ace,13,6,1,,75,170,77,Orthodox,1985-01-16,4.93,43,5.33,46,0.30,100,77,0.3
Juliana Lima,Ju Thai,9,3,0,,65,115,65,Orthodox,1982-03-15,2.16,45,1.88,61,1.80,30,50,0.0
Dhiego Lima,,11,4,0,,74,170,75,Orthodox,1989-01-31,4.43,47,4.07,57,4.53,66,0,3.0
Douglas Lima,The Phenom,26,6,0,,73,170,,,1988-01-05,1.92,36,2.84,60,0.60,100,46,0.0
Miguel Linares,,2,4,0,,,,,,,6.51,50,8.84,36,0.00,0,0,0.0
Matt Lindland,The Law,22,9,0,,72,185,74,Southpaw,1970-05-17,2.62,50,1.56,52,3.01,48,60,1.3
Jake Lindsey,The Librarian,9,3,0,,71,155,71,Switch,1986-06-21,3.44,52,4.01,46,0.65,33,50,0.0
John Lineker,Hands of Stone,29,8,0,,63,135,67,Orthodox,1990-06-12,5.01,39,4.05,55,0.62,60,67,0.6
Lucio Linhares,,15,7,0,,74,185,,Orthodox,1973-12-08,0.99,22,3.47,34,1.86,50,50,1.9
Philipe Lins,Monstro,9,1,0,,74,205,,,1985-08-17,0.00,0,0.00,0,0.00,0,0,0.0
Dean Lister,The Boogeyman,11,7,0,,73,185,75,Orthodox,1976-02-13,1.26,35,1.89,61,1.58,15,50,1.1
Wesley Little,,4,6,0,,76,205,,,,0.00,0,0.00,0,0.00,0,0,0.0
Abner Lloveras,Skullman,19,8,1,,71,155,71,,1982-09-04,6.27,49,6.87,43,2.00,20,0,0.0
Brian Lo-A-Njoe,,6,9,3,,67,155,,Orthodox,,3.87,42,0.00,0,0.00,0,66,0.0
John Lober,The Machine,5,9,4,,71,199,,Orthodox,1968-02-26,0.00,0,0.00,0,0.00,0,0,0.0
Artem Lobov,The Russian Hammer,14,12,1,1,69,145,65,Southpaw,1986-11-08,2.67,40,3.18,58,0.25,50,73,0.0
Sean Loeffler,The Destroyer,25,5,0,,75,185,,Orthodox,1982-05-23,0.00,0,0.00,0,0.00,0,0,0.0
David Loiseau,The Crow,20,10,0,,72,185,76,Orthodox,1979-12-17,1.59,44,3.64,43,0.43,42,36,0.1
Hector Lombard,Showeather,34,6,1,2,69,185,71,Southpaw,1978-02-02,2.81,45,3.40,49,2.00,57,81,0.7
Rocky Long,,19,27,1,,,145,,,1978-02-18,0.00,0,0.00,0,0.00,0,0,0.0
Thomas Longacre,,6,0,0,,69,145,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Lucas Lopes,,19,13,0,,74,185,,,1979-10-05,0.00,0,0.00,0,0.00,0,0,0.0
Dileno Lopes,,19,3,0,,65,135,65,,1984-09-26,2.37,36,3.33,53,2.50,31,100,1.5
Ivan Lopez,,8,1,0,,66,135,,Southpaw,,0.90,26,2.24,65,0.00,0,30,0.0
Steve Lopez,,12,6,1,,71,155,,Orthodox,1984-07-30,1.39,24,2.69,62,0.00,0,37,0.0
Federico Lopez,Kiko,5,5,0,,64,139,,Orthodox,,1.78,23,5.35,30,0.00,0,0,0.0
Jorge Lopez,,11,3,0,,70,170,,Orthodox,1988-11-21,2.47,59,2.57,50,3.50,41,81,0.0
Christopher Lopez,,4,0,0,,70,170,,,1986-01-30,0.00,0,0.00,0,0.00,0,0,0.0
Matthew Lopez,,9,1,0,,67,135,69,Southpaw,1987-01-21,1.50,50,2.42,43,3.07,85,60,1.5
Brendan Loughnane,,5,2,0,,69,155,71,,1989-05-12,5.00,63,3.60,66,0.00,0,91,0.0
Nate Loughran,,9,1,0,,74,185,,Orthodox,1980-07-28,1.81,40,4.11,59,0.00,0,0,2.1
Rashard Lovelace,,2,0,0,,,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
Ian Loveland,The Barn Owl,14,9,0,,68,145,,Orthodox,1983-09-07,2.71,40,2.36,64,1.00,37,69,0.3
Jakob Lovstad,The Striking Viking,11,4,0,,75,205,,Orthodox,,0.00,0,9.43,35,0.00,0,0,0.0
Waylon Lowe,,11,5,0,1,67,145,,Southpaw,1980-10-31,1.88,55,2.40,53,4.47,55,83,0.3
Brandon Lowe,,0,1,0,,,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
Robert Lucarelli,,0,1,0,,74,245,,,,0.00,0,0.00,0,0.00,0,0,0.0
Matt Lucas,Luke Duke,14,2,0,,73,205,,,,1.27,48,3.93,40,1.00,10,0,0.0
Cleber Luciano,,11,5,0,,66,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
Duane Ludwig,Bang,29,14,0,,70,170,70,Orthodox,1978-08-04,4.61,44,3.04,57,0.43,25,59,0.1
Mike Lullo,,8,3,0,,68,145,,Orthodox,1979-07-24,2.48,36,4.84,40,1.18,11,0,0.6
Alexandru Lungu,,8,2,0,,72,385,,Orthodox,1974-09-03,3.61,66,7.22,40,0.00,0,0,0.0
Vicente Luque,The Silent Assassin,11,5,1,,71,170,75,,1991-11-27,2.99,47,2.18,50,2.11,80,41,1.6
Thaddeus Luster,,0,1,0,,75,210,,,,0.00,0,0.00,0,0.00,0,0,0.0
Travis Lutter,The Serial Killer,10,6,0,,71,185,75,Orthodox,1973-05-12,0.41,32,2.42,42,1.95,24,30,0.7
Stevie Lynch,,5,2,0,,70,170,,Orthodox,,2.47,25,7.06,41,0.00,0,0,0.0
Adam Lynn,,17,8,0,1,70,155,,Orthodox,,1.47,63,6.95,10,0.00,0,50,0.0
Chris Lytle,Lights Out,31,18,5,,71,170,68,Orthodox,1974-08-18,3.76,45,3.03,58,0.70,55,55,2.4
William Patolino,Patolino,8,3,0,,71,170,75,Orthodox,1991-07-01,4.92,54,3.96,65,1.85,45,78,0.0
Jason MacDonald,The Athlete,26,16,0,,75,185,80,Orthodox,1975-06-03,1.55,52,2.70,46,1.43,16,35,2.0
Rob MacDonald,Maximus,5,4,0,,75,205,78,Orthodox,1978-09-05,1.80,50,2.04,46,7.19,80,80,5.4
Rory MacDonald,Red King,18,4,0,,72,170,76,Orthodox,1989-07-22,3.75,42,2.80,62,1.77,47,88,0.4
Veronica Macedo,,5,1,1,,64,135,64,Southpaw,1995-10-30,1.80,56,5.72,36,0.00,0,60,0.0
Clayton MacFarlane,,4,1,0,,,170,,,,1.33,52,1.82,55,1.05,33,37,0.0
Ilima Macfarlane,,3,0,0,,64,125,,,,4.13,43,2.93,65,0.00,0,50,1.0
Lyoto Machida,The Dragon,22,7,0,,73,185,74,Southpaw,1978-05-30,2.63,53,1.59,62,1.33,65,75,0.4
Jon Koppenhaver,War Machine,11,4,0,,71,170,,Orthodox,1981-11-30,2.32,60,3.17,43,1.16,50,40,0.0
Anthony Macias,Mad Dog,26,16,0,,69,185,,Switch,,0.00,0,0.00,0,0.00,0,0,0.0
Reza Madadi,Mad Dog,14,4,0,,71,155,72,Orthodox,1978-06-20,2.87,47,3.45,65,3.00,38,89,0.8
Ryan Madigan,,5,3,0,,72,170,,Orthodox,,0.00,0,3.35,47,0.00,0,0,0.0
Jon Madsen,,7,1,0,,72,240,72,Orthodox,1980-02-12,2.46,41,1.18,81,1.32,71,70,0.0
Yoshiro Maeda,,28,12,2,,67,139,68,Southpaw,1981-10-31,2.36,33,2.55,63,2.93,51,50,0.7
Leonardo Mafra,Macarrao,12,3,0,,70,155,70,Orthodox,1989-04-25,4.55,48,4.38,43,2.12,83,69,0.4
Vinny Magalhaes,Pezao,11,7,0,1,75,205,79,Orthodox,1984-07-02,2.14,24,3.97,68,1.55,44,66,0.8
Vinicius Magalhaes,Draculinho,2,1,0,,,145,,,1971-07-30,0.00,0,0.00,0,0.00,0,0,0.0
Caio Magalhaes,Hellboy,9,3,0,,73,185,73,Orthodox,1987-12-14,2.27,40,2.78,56,1.05,15,58,1.6
Bernardo Magalhaes,Trekko,11,3,0,,69,155,65,Orthodox,1981-04-08,1.80,27,3.37,68,0.00,0,0,0.5
Eric Magana,,1,1,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Brandon Magana,,6,2,0,,,170,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Angela Magana,Your Majesty,11,8,0,,61,115,65,,1983-08-02,1.63,26,5.17,44,0.54,33,0,0.5
Neil Magny,,19,6,0,,75,170,80,Orthodox,1987-08-03,4.04,50,2.00,56,2.71,46,59,0.4
Ibragim Magomedov,,22,7,1,,72,250,,Orthodox,,0.26,4,3.86,42,0.00,0,0,0.0
Rashid Magomedov,Goretz,19,2,0,,69,155,70,Orthodox,1984-11-29,4.28,51,2.66,56,0.80,66,86,0.2
Ruslan Magomedov,Leopard,14,1,0,,75,242,78,Orthodox,1986-11-26,4.02,47,1.47,66,0.33,100,88,0.0
John Maguire,The One,18,6,0,,69,155,69,Southpaw,1983-05-19,1.41,41,2.44,65,2.80,46,77,1.1
Lolohea Mahe,,5,2,1,,,,,,,1.71,29,6.92,40,2.44,40,0,0.0
Michelle Maher,,1,2,0,,,145,,,,0.00,0,0.00,0,0.00,0,0,0.0
Bill Mahood,The Butcher,20,7,1,1,75,200,,Orthodox,1967-02-01,1.54,85,3.59,17,0.00,0,0,3.9
Klayton Mai,,8,1,0,,69,125,,,1986-11-30,1.53,42,1.02,63,3.83,100,0,7.7
Demian Maia,,24,6,0,,73,170,72,Southpaw,1977-11-06,1.82,44,1.61,62,2.99,31,65,1.3
Levan Makashvili,The Hornet,10,2,1,,68,145,68,Orthodox,1989-01-07,2.87,54,2.07,61,3.67,42,85,0.0
John Makdessi,The Bull,14,6,0,,68,155,68,Orthodox,1985-05-03,5.39,51,3.95,71,0.00,0,87,0.0
Islam Makhachev,,14,1,0,,70,155,70,Orthodox,1991-10-27,2.31,64,0.71,66,4.57,85,100,1.1
Aliev Makhmud,,0,1,0,,66,195,,Southpaw,1970-02-13,1.12,30,2.24,36,2.10,50,0,0.0
Zach Makovsky,Fun Size,19,8,0,,64,125,64,Southpaw,1983-04-19,1.94,43,2.24,62,3.71,30,56,0.3
Jeremy Malaterre,,4,2,0,,71,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
Fabio Maldonado,Caipira de Aco,22,9,0,,73,205,75,Orthodox,1980-03-17,5.29,58,4.31,53,0.44,57,61,0.6
Marvin Maldonado,The Bulldog,2,4,0,1,66,135,,,,0.87,56,3.47,43,0.00,0,20,0.0
Nazareno Malegarie,El Tigre,28,5,0,,68,155,70,,1986-05-16,3.87,34,3.27,69,1.00,33,0,0.0
Carl Malenko,,6,4,0,,71,200,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Mike Malott,The Main Attraction,4,1,1,,72,145,,,,4.53,36,4.53,51,2.00,33,0,0.0
Troy Mandaloniz,Rude Boy,3,2,0,,69,170,,Orthodox,1980-02-01,3.52,56,4.71,63,3.10,66,57,0.0
Michael Mangan,,0,3,0,,,155,,,,1.94,33,4.52,46,19.35,50,100,0.0
Melvin Manhoef,Marvelous,25,9,1,1,69,185,,Orthodox,1976-05-11,3.52,48,2.64,51,0.33,25,78,0.0
Melchor Manibusan,Barracuda,2,4,0,,65,154,,Southpaw,1976-12-27,1.58,54,5.79,15,0.00,0,0,0.0
Jon Manley,,7,3,0,,73,170,75,Orthodox,1986-07-07,1.13,20,4.33,45,1.00,7,20,0.0
Steve Mann,,10,3,0,,73,170,,,,3.18,70,0.66,57,1.64,100,60,0.0
Chris Manuel,,8,3,2,,69,135,,Orthodox,1987-07-21,2.53,40,2.67,66,1.00,20,100,0.0
Jimi Manuwa,Poster Boy,16,2,0,,73,205,79,Orthodox,1980-02-18,3.64,59,2.98,48,0.76,25,63,0.5
Cristiano Marcello,,13,6,0,,69,155,72,Orthodox,1977-12-03,2.56,33,3.61,58,0.44,11,20,0.9
Jose Maria,No Chance,33,5,0,2,65,125,,Orthodox,1982-01-04,3.20,53,3.98,52,2.32,27,33,2.3
Enrique Marin,Wasabi,9,4,0,,70,170,74,,1986-09-02,1.43,33,3.00,50,2.50,38,60,1.0
Ronny Markes,,14,3,0,,73,185,75,Orthodox,1988-04-21,2.17,53,2.43,45,3.13,40,100,0.5
Rory Markham,,16,6,0,,72,170,71,Orthodox,1982-03-25,1.98,21,10.27,45,0.00,0,0,0.0
Randa Markos,Quiet Storm,6,5,0,,64,115,63,,1985-08-10,3.05,38,3.59,61,1.39,27,50,0.5
Nate Marquardt,The Great,38,17,2,,72,185,74,Orthodox,1979-04-20,2.67,49,2.27,56,2.03,53,72,1.0
Carmelo Marrero,The Fury,14,5,0,1,72,205,73,Orthodox,1981-01-26,0.84,34,2.04,54,3.21,36,36,0.9
Cesar Marscucci,,2,2,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
John Marsh,,8,7,0,,72,265,,Orthodox,1970-09-15,0.83,42,2.23,40,0.43,100,54,0.4
CJ Marsh,,3,1,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Eliot Marshall,Fire,10,4,0,,74,205,77,Orthodox,1980-07-07,1.93,27,2.39,67,0.47,33,79,0.9
Doug Marshall,The Rhino,13,5,0,,70,205,,Orthodox,1975-09-09,7.97,51,6.29,61,0.00,0,0,6.3
David Marshall,,8,3,0,,74,170,,,1984-08-24,0.00,0,0.00,0,0.00,0,0,0.0
Jack Marshman,Hammer,21,5,0,,72,185,73,Orthodox,1989-12-19,4.85,46,4.15,56,0.00,0,0,0.0
Terry Martin,,22,9,0,,68,185,71,Orthodox,1980-10-10,2.68,41,3.26,53,3.01,40,92,0.0
Eric Martin,,0,1,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Justin Martin,,4,3,0,,72,185,,,,0.00,0,0.00,0,0.00,0,0,0.0
Dave Martin,,0,2,0,,72,205,,,,0.00,0,0.00,0,0.00,0,0,0.0
Joe Martin,,6,8,0,,69,170,,,,0.00,0,0.00,0,0.00,0,0,0.0
Tony Martin,,11,3,0,,72,155,73,Orthodox,1989-12-11,2.32,42,2.89,49,1.66,24,50,1.2
Rainy Martinez,,0,2,0,,72,199,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Danny Martinez,The Gremlin,18,7,0,,66,125,67,Orthodox,1985-06-14,2.73,28,3.77,63,3.00,45,36,0.0
Alonzo Martinez,Zo Diddy,35,16,1,,70,155,,,1984-04-22,3.07,27,7.33,52,0.00,0,0,0.0
Henry Martinez,Sicario,9,3,0,,67,155,68,Southpaw,1983-08-07,2.79,25,4.01,60,0.00,0,80,0.0
Wagner da Conceicao Martins,Zuluzinho,8,7,0,1,79,390,,Orthodox,1978-05-19,1.91,37,5.43,42,2.20,100,100,0.0
Adriano Martins,,28,8,0,,70,155,72,Southpaw,1982-12-16,1.85,37,2.09,66,0.97,80,81,0.2
Lucas Martins,Mineiro,16,3,0,,72,145,72,Southpaw,1988-11-11,2.87,35,4.14,60,0.00,0,76,0.5
Max Martyniouk,Payne,1,1,0,,,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
Bristol Marunde,,12,9,0,,73,170,71,Orthodox,1982-04-20,1.42,21,4.40,47,1.60,33,14,0.0
Shoji Maruyama,,10,7,1,,67,139,,Orthodox,1983-04-24,1.40,63,0.27,55,0.00,0,54,0.0
Mike Massenzio,The Master of Disaster,13,6,0,,74,185,73,Southpaw,1982-11-01,2.08,45,3.59,54,2.74,24,50,1.4
Jameel Massouh,,26,9,0,,70,145,72,Orthodox,1984-09-12,1.91,54,2.62,55,0.67,15,50,0.7
Jorge Masvidal,Gamebred,32,11,0,,71,170,74,Orthodox,1984-11-12,4.32,47,2.94,68,1.93,61,79,0.5
Tateki Matsuda,Tech,10,7,0,,67,125,65,Orthodox,1986-02-27,3.20,34,3.43,69,0.00,0,16,0.0
Daijiro Matsui,,12,24,5,,69,200,,Orthodox,1972-12-05,0.84,45,1.69,55,1.83,30,43,0.4
Koichiro Matsumoto,,15,3,1,,67,145,,,1986-03-07,1.90,26,3.50,31,0.00,0,0,0.0
Naoki Matsushita,,12,15,11,,66,155,,Orthodox,,3.30,32,2.20,63,1.50,100,0,0.0
AJ Matthews,,6,1,0,,71,185,,,,5.11,52,4.96,51,0.00,0,100,0.0
Jake Matthews,The Celtic Kid,11,3,0,,69,155,72,Orthodox,1994-08-19,3.12,46,2.11,52,2.18,40,66,0.9
Claudio Mattos,Popeye,5,4,0,,,185,,Orthodox,,0.00,0,3.53,0,0.00,0,0,0.0
John Matua,,1,4,0,,74,400,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Francesco Maturi,,0,1,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Vladimir Matyushenko,The Janitor,26,7,0,,72,205,74,Orthodox,1971-01-04,1.90,44,1.62,59,3.25,46,70,0.1
Elaina Maxwell,Beef,6,4,0,,68,145,,Orthodox,1978-12-16,2.07,60,2.40,53,0.00,0,50,1.0
Jeremy May,,9,8,0,,73,185,,,1986-10-23,0.00,0,0.00,0,0.00,0,0,0.0
Jack May,The Outlaw,7,2,0,,80,255,79,Switch,1981-04-14,1.52,38,3.29,33,0.91,33,20,0.0
Gray Maynard,,13,7,1,1,69,145,70,Orthodox,1979-05-09,1.97,31,2.53,69,2.48,41,83,0.6
Brooke Mayo,The Bully,0,0,0,,67,125,,,,0.00,0,0.00,0,0.00,0,0,0.0
Gina Mazany,Danger,4,0,0,,66,135,68,Southpaw,1988-08-19,0.00,0,0.00,0,0.00,0,0,0.0
Scott McAfee,,10,4,0,,68,155,,Orthodox,1983-08-23,0.00,0,1.33,50,0.00,0,0,0.0
Bobby McAndrews,,1,3,0,,,,,Orthodox,,2.56,83,1.03,50,0.00,0,33,7.7
Michael McBride,,8,2,0,,73,155,75,Orthodox,1986-03-09,1.72,51,4.09,24,0.00,0,16,0.0
Ian McCall,Uncle Creepy,13,5,1,,65,125,64,Orthodox,1984-05-07,3.59,39,3.25,67,2.08,30,88,0.0
Charles McCarthy,Chainsaw,10,5,0,,70,185,71,Orthodox,1980-08-06,0.18,12,4.03,56,2.67,60,0,2.7
Sean McCorkle,,13,2,0,,79,265,81,Orthodox,1976-07-17,0.85,44,2.48,52,2.12,40,33,4.2
Kris McCray,Savage,6,3,0,,72,170,76,Orthodox,1981-09-24,2.69,45,2.57,54,2.88,55,38,0.0
Tamdan McCrory,The Barncat,14,5,0,,76,185,78,Switch,1986-11-05,2.07,49,1.60,46,2.28,50,33,2.5
Rob McCullough,Razor,19,8,0,,69,155,69,Orthodox,1977-05-26,2.47,36,2.84,59,0.46,100,68,0.0
Justin McCully,The Insane One,10,5,2,,73,225,73,Orthodox,1976-02-18,1.58,37,2.02,46,1.28,44,43,0.0
Bubba McDaniel,The Menace,21,8,0,,75,185,75,Southpaw,1983-05-03,1.64,44,1.98,56,0.93,50,50,1.4
Michael McDonald,The Black Sniper,1,1,0,,71,205,,Orthodox,1965-02-06,0.00,0,0.40,50,0.00,0,0,0.0
Scott McDonald,,1,0,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Michael McDonald,Mayday,17,4,0,,69,135,70,Orthodox,1991-01-15,2.69,42,2.76,57,1.09,66,52,1.4
Josh McDonald,,8,4,0,1,,185,,,,0.00,0,0.00,0,0.00,0,0,0.0
Miles McDonald,,1,1,0,,67,115,,,1991-08-13,5.10,45,4.00,43,0.00,0,100,1.0
Justin McElfresh,,6,4,0,,78,205,,Orthodox,1980-01-04,4.59,26,12.79,41,0.00,0,0,0.0
Drew McFedries,The Massacre,10,6,0,,72,185,72,Southpaw,1978-07-27,5.13,51,4.56,52,1.42,100,56,0.7
Liam McGeary,,11,0,0,,78,205,,,1982-10-04,1.28,48,1.92,50,0.51,100,0,2.5
Gan McGee,The Giant,13,5,0,,82,265,,Orthodox,1976-11-20,2.20,29,2.31,59,0.65,25,83,0.0
Court McGee,The Crusher,19,6,0,,71,170,75,Orthodox,1984-12-12,4.90,36,3.42,62,2.17,27,70,0.6
Ryan McGillivray,The Kid,11,5,1,,71,170,,,1986-09-27,1.27,20,2.20,52,0.00,0,44,0.0
Ryan McGivern,,13,7,0,,72,185,,Orthodox,1980-01-17,2.22,29,2.22,57,0.00,0,0,0.0
Jack McGlaughlin,,1,4,0,,,,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Conor McGregor,The Notorious,21,3,0,,69,170,74,Southpaw,1988-07-14,5.82,47,4.55,57,0.92,62,73,0.0
Greg McIntyre,,6,4,0,,70,155,,Orthodox,1980-04-21,0.79,30,1.36,41,5.09,50,0,0.0
Antonio McKee,Mandingo,26,5,2,,68,155,,Southpaw,1970-03-12,1.37,45,0.74,74,1.47,33,57,0.0
AJ McKee,Mercenary,3,0,0,,70,145,,,,2.75,32,0.92,80,11.01,100,100,11.0
Tim McKenzie,,13,8,0,,72,185,74,Orthodox,1982-07-21,1.37,54,2.96,44,0.00,0,28,2.1
Cody McKenzie,,14,4,0,,72,155,72,Switch,1987-12-16,1.74,34,2.50,67,2.50,25,14,2.5
Brian McLaughlin,,6,2,0,,69,155,,,1984-05-12,0.00,0,0.00,0,0.00,0,0,0.0
Jason McLean,,6,4,0,,65,145,,,,0.00,0,0.00,0,0.00,0,0,0.0
Garreth McLellan,Soldier Boy,13,5,0,,73,185,72,Southpaw,1982-09-01,3.53,54,2.58,46,1.18,23,34,0.9
Sara McMann,,10,3,0,,66,135,66,Orthodox,1980-09-24,2.37,45,2.05,49,4.80,69,100,0.5
James McSweeney,The Hammer,6,9,0,,76,230,77,Switch,1980-10-24,3.94,55,4.33,42,0.52,33,100,1.1
Charles McTorry,,2,0,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Daniel McWilliams,The Animal,9,19,0,,73,185,,,,3.36,77,0.00,0,0.00,0,100,21.6
Tim Means,The Dirty Bird,26,7,1,1,74,170,75,Orthodox,1984-02-20,4.35,46,2.83,63,0.93,50,61,0.2
Yancy Medeiros,The Kid,13,4,0,1,70,155,75,Orthodox,1987-09-07,4.01,34,4.88,49,0.00,0,86,0.8
Anistavio Medeiros,Gasparzinho,15,8,0,,66,145,,Orthodox,1988-05-01,3.64,44,5.00,47,0.00,0,0,0.0
Kaline Medeiros,The Dark Angel,5,4,0,,63,115,,,,2.06,70,0.29,83,4.41,100,0,4.4
Todd Medina,El Tiburon,11,9,0,1,70,193,,Southpaw,,0.00,0,0.00,0,0.00,0,0,0.0
Jason Medina,,21,13,1,,69,180,,,,0.00,0,0.00,0,0.00,0,0,0.0
Gerald Meerschaert,GM3,25,8,0,,73,185,77,Southpaw,1987-12-18,3.33,41,1.19,75,0.00,0,0,3.6
Frank Megallon,,2,3,0,,70,185,,Southpaw,,1.14,21,5.32,54,0.00,0,0,0.0
Derrick Mehmen,Caveman,12,4,0,,76,205,,,1985-05-30,1.93,14,4.53,48,1.00,16,0,0.0
Miika Mehmet,,3,4,0,,,205,,Orthodox,,0.33,12,7.29,24,0.00,0,0,0.0
Jordan Mein,Young Gun,29,11,0,,72,170,73,Orthodox,1989-10-10,3.91,44,2.97,70,1.18,70,60,0.0
Bryce Mejia,,3,1,0,,73,170,,,,3.49,62,6.98,50,0.00,0,0,0.0
Brian Melancon,,7,3,0,,68,170,72,Orthodox,1982-05-28,4.18,49,3.64,64,2.02,100,66,0.0
Brandon Melendez,The Murderer,26,21,0,,71,155,,Southpaw,1983-03-24,0.84,26,0.56,63,0.00,0,25,0.0
Gilbert Melendez,El Nino,22,6,0,,69,155,73,Orthodox,1982-04-12,3.58,33,2.18,65,1.78,42,71,0.2
Marcelo Mello,,1,0,0,,67,170,,Southpaw,,0.00,0,0.00,0,0.00,0,0,0.0
Fabio Mello,,8,6,0,,65,155,,Southpaw,,0.86,35,3.94,50,0.00,0,0,0.0
Antonio Mendes,Samurai,17,10,0,,75,205,77,Southpaw,1981-04-19,1.34,47,6.85,22,2.51,50,100,0.0
Chad Mendes,Money,17,4,0,,66,145,66,Orthodox,1985-05-01,2.70,49,2.16,68,4.16,54,100,0.3
Augusto Mendes,Tanquinho,6,1,0,,66,135,65,Orthodox,1983-03-03,2.75,36,2.64,65,3.11,44,100,0.0
Eddie Mendez,,7,2,1,1,70,185,76,,1984-01-16,1.71,33,3.43,11,0.00,0,0,0.0
Luis Mendoza,,0,1,0,,,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
Alonzo Menifield,,1,0,0,,73,205,,,1994-10-18,14.21,75,0.00,100,0.00,0,100,0.0
Ivan Menjivar,The Pride of El Salvador,25,12,0,,66,145,64,Orthodox,1982-05-30,2.78,37,2.76,65,0.56,28,38,1.0
Dave Menne,The Warrior,44,16,2,,70,170,,Orthodox,1974-07-29,1.84,44,1.99,42,0.46,50,57,2.5
Steve Mensing,The Machine,7,11,2,1,71,185,,Orthodox,1977-12-06,0.00,0,9.51,42,0.00,0,0,0.0
Buck Meredith,,3,3,0,,74,185,,,1982-05-17,0.00,0,0.00,0,0.00,0,0,0.0
Adam Meredith,,3,1,0,,74,170,,,,2.63,50,2.11,55,7.89,100,100,7.9
Joe Merritt,Joey Slash,6,1,0,,72,170,73,Orthodox,1984-03-07,1.53,58,0.73,66,0.00,0,68,0.0
Jeremiah Metcalf,,13,7,0,,73,185,,Orthodox,,1.74,59,0.27,60,4.02,66,100,2.0
Jonathan Meunier,The French Spider,8,1,0,,75,170,75,Switch,1987-08-04,3.47,50,1.43,69,0.58,33,58,0.0
Yaotzin Meza,,21,11,0,1,69,145,74,Orthodox,1981-02-04,1.43,41,1.62,64,1.06,20,18,1.4
Guy Mezger,,30,14,2,,73,200,,Orthodox,1968-01-01,2.30,32,1.36,72,0.39,50,88,0.0
Brandon Michaels,,1,4,0,,69,185,,,,0.00,0,0.00,0,0.00,0,0,0.0
David Michaud,BullDawg,8,2,0,,69,155,72,Orthodox,1988-11-10,3.25,43,4.45,54,2.53,58,77,0.7
Chris Mickle,,28,16,2,,69,145,,Orthodox,1983-07-10,3.03,27,9.70,48,0.00,0,0,0.0
Zachary Micklewright,,11,3,0,,72,155,74,Southpaw,1976-08-21,5.56,53,4.72,54,0.70,12,100,0.0
Kristof Midoux,The Hurricane,6,10,0,,73,220,,Orthodox,1974-07-30,0.70,43,2.89,49,0.00,0,0,0.0
Keith Mielke,,0,5,0,,68,185,,,,0.00,0,0.00,0,0.00,0,0,0.0
Chris Mierzwiak,,3,1,0,,73,185,,,1988-02-14,1.60,61,1.73,48,2.00,28,0,1.0
Gabriel Miglioli,Biel,9,8,0,,68,170,,,,0.00,0,0.00,0,0.00,0,0,0.0
Bojan Mihajlovic,,10,5,0,,71,205,73,Orthodox,1980-03-30,1.83,41,3.59,57,0.00,0,100,0.0
Billy Miles,The Kid,2,2,0,,70,170,,Orthodox,1978-04-28,0.00,0,1.25,33,0.00,0,0,0.0
Pat Miletich,The Croatian Sensation,29,7,2,,70,170,,Orthodox,1968-03-09,1.79,45,1.66,63,1.96,100,54,1.0
Curtis Millender,Curtious,8,2,0,,74,170,,,,3.66,39,2.80,60,1.17,100,75,0.0
Phillip Miller,,16,0,0,,71,185,,Orthodox,1979-02-20,1.61,54,1.93,50,3.62,25,100,0.6
